#春秋音義所音專有名詞中古音轉寫
word	middle_chinese_baxter_translation
宋芮司徒	芮<nywejH>
芻蕘	芻<tsrhju>蕘<nyew>
公子負芻	芻<tsrhju>
曹伯負芻	芻<tsrhju>
苕丘	苕<dew>
茀翰胡	茀<pjut>翰<han>
茅戎	茅<maew>
茅鴟	茅<maew>鴟<tsyhij>
公子茷	茷<bjojH>
楚公子茷	茷<bjojH>
師茷	茷<bjojH,bjot>
茅茷	茷<bjojH>
東莞蓋縣	莞<kwan>蓋<kajH>
捷菑	菑<tsri>
菟氏	菟<du>
弘農華陰縣	華<hwaeH>
宋司馬華孫	華<hwaeH>
宋華耦	華<hwaeH>
華不注	華<hwae,hwaeH>注<tsyuH>
華泉	華<hwaeH>
宋華元	華<hwaeH>
宋華臣	華<hwaeH>
華還	華<hwaeH>還<zjwen>
宋華合比	華<hwaeH>比<pjijX,bjijH>
華仲	華<hwaeH,hwae>
東萊黃縣	萊<loj>
萊書	萊<loj>
萊山	萊<loj>
南陽葉縣	葉<syep>
南陽葉縣	葉<syep>
著雍	著<trjoH,drjoH>雍<’jowngH>
著雍	著<trjoH,drjoH>雍<’jowngH>
著丘公	著<drjo,drjoH>
葴尹宜咎	葴<tsyim>咎<gjuwX>
孫蒯	蒯<khweajH>
衛孫蒯	蒯<khweajH>
邢蒯	蒯<khweajH>
申蒯	蒯<khweajH>
舒蓼	蓼<lewX>
蓼蕭	蓼<ljuwk>
蓼國	蓼<lewX>
安豐蓼縣	蓼<lewX>
仲孫蔑	蔑<met>
先蔑	蔑<met>
野有蔓草	蔓<mjonH>
蔡叔	蔡<tshajH>
蔿賈	蔿<hjweX>
蔿賈	蔿<hjweX>
蔿敖	蔿<hjweX>
蔿子馮	蔿<hjweX>馮<bing>
蔿子馮	蔿<hjweX>馮<bing>
薳邑	蔿<hjweX>
士蔿	蔿<hjweX>
魯國蕃縣	蕃<bje,pjon>
丘蕕	蕕<yuw>
薊縣	薊<kejH>
薰隧	薰<xjun>隧<zwijH>
薳子馮	薳<hjweX>馮<bing>
薳啓彊	薳<hjweX>
宋大藪	藪<suwX>
蘧里	蘧<gjo>
蘧伯玉	蘧<gjo>
蘧瑗	蘧<gjo>瑗<hjwenH>
邾子蘧蒢	蘧<gjo>蒢<drjo>
采蘩	蘩<bjon>
狄虒彌	虒<sje>彌<mjie,mjie>
虚朾	虚<khjo>朾<theng>
虛朾	虛<khjo>朾<theng>
桃虚	虛<khjo>
蕩虺	虺<xjw+jX>
仲虺	虺<xjw+jX>
孔虺	虺<xjw+jX>
蚡冒	蚡<bjunX>冒<mawH>
蚡冒	蚡<bjunX>
蚡泉	蚡<bjunX>
蛇丘	蛇<ye,zyae>
濟北蛇丘	蛇<ye>
蟋蟀	蟀<srwit>
啓蟄	蟄<drip>
子蟜	蟜<kjewX>
鄭子蟜	蟜<kjewX>
公孫蠆	蠆<trhaejH>
鄭公孫蠆	蠆<trhaejH>
公孫蠆	蠆<trhaejH>
伯蠲	蠲<kwen,kwej>
師蠲	蠲<kwen,kwej>
中行桓子	行<hang>
公行	行<hang>
右行辛	行<hang>
中行偃	行<hang>
中行獻子	行<hang>
中行喜	行<hang>
行夜	行<haengH>
巡行	行<haengH>
中行吳	行<hang>
昌衍	衍<yenX>
